season,week,scheme,mean_sd_point,mean_sd_width,n_seeds_used
12,6,percent,0.008088568295753244,0.044607384290563205,4
13,5,percent,0.00717865289376341,0.07079908478211197,4
28,3,rank,0.0,0.0,4
13,8,percent,0.008701388107158687,0.02250508793235586,4
25,5,percent,0.007315348088289779,0.0637926461546543,4
19,5,percent,0.0,0.0,4
15,2,percent,0.0038861217877834645,0.05595428539927413,4
9,3,percent,0.0042645206771319884,0.04407259244198661,4
2,3,rank,0.007329947091120704,0.05666442760950909,4
3,7,percent,0.009880381653244404,0.03873930350179988,4
10,9,percent,0.008449398496535534,0.025927859088846754,4
15,4,percent,0.006534918355393681,0.040867274577266625,4
19,1,percent,0.00476327601202118,0.06004108029342443,4
17,11,percent,0.0,0.0,4
18,10,percent,0.0,0.0,4
