Season,JFI_Percent,JFI_Rank,WeeklyDisagree,Agreement
1,2.4285835714892863,2.4285835714892863,0.0,1.0
2,18.199399419819148,-0.23809586167963764,0.3333333333333333,0.2606060606060606
3,8.666984456096722,0.481483443080694,0.5,0.6363636363636364
4,7.69991530093169,7.69991530093169,0.0,1.0
5,-2.8889347908527885,0.4864883666982821,0.5714285714285714,0.6223776223776225
6,4.999945000604993,2.648638412019111,0.7142857142857143,0.8321678321678322
7,-2.2857340954097793,-3.4800253345844365,0.16666666666666666,0.8296703296703297
8,0.2500007583356336,8.99945403312199,0.3333333333333333,0.46153846153846156
9,-0.6387110784630108,9.856664104886331,0.5714285714285714,0.19117647058823528
10,-8.333486113912086,-0.6585383521760666,0.3333333333333333,0.7272727272727273
11,3.137915561312922,19.332411821703165,0.2857142857142857,0.3846153846153847
12,-0.914288587764133,5.000183340055802,0.42857142857142855,0.1272727272727273
13,1.6862697816357104,1.4411734398852662,0.6666666666666666,0.6643356643356644
14,37.00529175672121,2.2777958736005517,0.6666666666666666,0.34965034965034975
15,1.9666607011292065,1.3866633016970547,0.8333333333333334,0.7527472527472527
16,0.39473609937812876,0.41758176138250686,0.42857142857142855,0.6573426573426573
17,1.1132045436179299,0.7624986370336861,0.75,0.41958041958041964
18,11.749579952516696,0.6315777590050059,0.5714285714285714,0.3636363636363637
19,0.7499951250316874,1.0789422008557747,0.125,0.4505494505494505
20,0.058824024225615536,1.60715106509294,0.125,0.4265734265734266
21,-1.3043581475296893,-4.200076441391234,0.14285714285714285,0.8296703296703297
22,0.10000023833390134,-0.2105271080362223,0.5,0.9510489510489512
23,-0.0,-1.040007571255119,0.6,0.7142857142857143
24,-1.7499687193091424,-0.19999714004089736,0.42857142857142855,0.9510489510489512
25,0.4920620705508439,1.1139214843834158,0.3333333333333333,0.4725274725274725
26,-0.33333429824840716,2.2571322163766943,0.6666666666666666,0.13939393939393938
27,-3.0714685005190785,-3.0000546009937383,0.6666666666666666,0.7967032967032966
28,0.4038472644261309,2.9999747649181536,0.42857142857142855,0.2937062937062937
29,2.9999353860070705,9.384413258791348,0.875,0.09285714285714285
30,0.8217799000161189,0.7550998833880884,0.14285714285714285,0.7678571428571428
31,2.820213945250097,6.071379422166583,0.875,0.8147058823529412
32,-3.8979953793448487,4.043398271903751,0.75,0.5208791208791209
33,0.36923180307981784,1.5416608212027194,0.3333333333333333,0.46703296703296704
34,1.184967981731609,1.0574399970360349,1.0,0.221978021978022
