Feature,Coef,P,Lower,Upper,Model,Sig
行业: 运动员,-0.03894535576483733,0.16569365671819036,-0.09401165528942096,0.016120943759746292,评委评分 (技术),
Model,-0.060768481671362576,0.32774704715919245,-0.18246937909155292,0.06093241574882778,评委评分 (技术),
行业: 其他,-0.029364792763982125,0.3745733417116637,-0.09418220630106244,0.03545262077309819,评委评分 (技术),
行业: 歌手,0.018318390230542447,0.5463947796110145,-0.04120597509498841,0.07784275555607331,评委评分 (技术),
TV Personality,-0.09946283647755166,0.0006022463463126922,-0.15628774650638022,-0.04263792644872311,评委评分 (技术),***
年龄 (标准化),-0.11958298530730892,8.813050503867453e-31,-0.13990228994828946,-0.09926368066632839,评委评分 (技术),***
比赛周次 (趋势),0.3085979890804699,0.0,0.30193208591045795,0.3152638922504819,评委评分 (技术),***
行业: 运动员,0.2568226138244807,0.06379694958318027,-0.014737648093701039,0.5283828757426624,粉丝投票 (偏好),
Model,0.12477216212904155,0.685265953119863,-0.47862356701898945,0.7281678912770725,粉丝投票 (偏好),
行业: 其他,0.1791853873935194,0.2732763450177699,-0.14138176087464738,0.4997525356616862,粉丝投票 (偏好),
行业: 歌手,-0.01148126563437277,0.9392555499929583,-0.30677289108091865,0.28381035981217306,粉丝投票 (偏好),
TV Personality,0.4401705750870503,0.0022483399572502103,0.15780291659939366,0.722538233574707,粉丝投票 (偏好),***
年龄 (标准化),0.16702409966558734,0.0008135904124787199,0.06924973377981464,0.26479846555136005,粉丝投票 (偏好),***
比赛周次 (趋势),0.14024675045916543,2.4221714347187096e-16,0.10672124460624693,0.17377225631208393,粉丝投票 (偏好),***
