Feature,Coefficient,Lower,Upper,Model,Coef_Normalized
Intercept,0.05259313073114221,0.04479022767831819,0.060396033783966234,评委评价维度,1.0
C(industry_grouped)[T.Athlete],0.0034943657753355706,-0.0002133027433014103,0.0072020342939725515,评委评价维度,0.06644148630738264
C(industry_grouped)[T.Model],-0.003241315049164833,-0.01202784587519363,0.005545215776863963,评委评价维度,-0.06163000764747283
C(industry_grouped)[T.Other],-0.011055960466615233,-0.01563351529936676,-0.006478405633863703,评委评价维度,-0.21021681563574643
C(industry_grouped)[T.Singer/Rapper],0.0006766605158325113,-0.0034684073768558796,0.004821728408520902,评委评价维度,0.0128659485835065
C(industry_grouped)[T.TV Personality],-0.01070889078294382,-0.01473756786015367,-0.006680213705733969,评委评价维度,-0.20361767086443316
age_scaled,-0.0072298885388928135,-0.008750362004854904,-0.005709415072930723,评委评价维度,-0.13746830505018304
week,0.015682556475324724,0.015218926267968202,0.016146186682681248,评委评价维度,0.298186403001838
Intercept,-5.148870044853049,-5.471281049086979,-4.826459040619119,粉丝偏好维度,-1.0
C(industry_grouped)[T.Athlete],0.37288799389168165,0.03192264618782681,0.7138533415955365,粉丝偏好维度,0.07242132558082927
C(industry_grouped)[T.Model],0.1970147733450458,-0.5814748617414831,0.9755044084315747,粉丝偏好维度,0.03826369118443514
C(industry_grouped)[T.Other],0.093630649770289,-0.3185799798151128,0.5058412793556908,粉丝偏好维度,0.018184698575541784
C(industry_grouped)[T.Singer/Rapper],-0.04332511068959213,-0.42582151491113474,0.3391712935319505,粉丝偏好维度,-0.008414489065013613
C(industry_grouped)[T.TV Personality],0.4242024318603073,0.05663539417687774,0.791769469543737,粉丝偏好维度,0.08238748078024452
age_scaled,0.18035351546655481,0.0495187859396016,0.31118824499350806,粉丝偏好维度,0.03502778549379802
week,0.1500840514170485,0.10610031843131051,0.1940677844027865,粉丝偏好维度,0.029148929786463853
